Fecha;Documento;Solicitante;Material(sku);Descrip;Cantidad;Precio;Moneda;Numero de pedido;Tipo pedido ;Cant2;Prec2;Año;Mes;Dia;Fecha2;Week;Canal;Subcanal;Marca;Categoria
20230201;1031397;1610;EP-TA20RWSCGAR;Cargador Ultra Fast USB Type-C (15w);1;363554;ARS;2000005034307540;Pedido;1;3635,54;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;Cargadores
20230201;1031398;1582;MZB0BX2EU;Redmi Note 11 128/4gb Twilight Blue;1;8264380;ARS;2000005034351066;Pedido;1;82643,8;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Xiaomi;#N/D
20230201;1031399;1582;PE-ETA1001S;Peabody E-Termo 850w Inox;1;1480909;ARS;2000005034456162;Pedido;1;14809,09;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Peabody;Termo
20230201;1031400;1638;PAS50010AR;Moto G41  Negro Onix XT2167-1 128/4gb;1;6611488;ARS;2000005034493896;Pedido;1;66114,88;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Motorola;Celulares
20230201;1031401;1581;QN43QN90BAGCZB;"43"" TV Neo QLED 4K QN90B";1;25206529;ARS;2000005028032712;Pedido;1;252065,29;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;#N/D
20230201;1031402;1582;PE-ETA1001S;Peabody E-Termo 850w Inox;1;1480909;ARS;2000005034823492;Pedido;1;14809,09;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Peabody;Termo
20230201;1031404;94;EO-IC100BWEGWW;Type-C EarPhones White;1;371839;ARS;86415;Pedido;1;3718,39;2023;02;01;01/02/2023;5;Multipoint;Multipoint;Samsung;Auriculares
20230201;1031405;94;EO-IC100BWEGWW;Type-C EarPhones White;1;371839;ARS;86379;Pedido;1;3718,39;2023;02;01;01/02/2023;5;Multipoint;Multipoint;Samsung;Auriculares
20230201;1031406;1582;T671E1-FALCAR11;TCL 20SE T671E 256/6gb Gris;1;7239587;ARS;2000005034933022;Pedido;1;72395,87;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;TCL;Smartphones
20230201;1031407;1582;UN55AU7000GCZB;"55"" Smart TV Crystal UHD 4K AU7000";1;15289174;ARS;2000005034956514;Pedido;1;152891,74;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;Smart TV
20230201;1031408;1582;EF-ZG780CVEGWW;S20FE Smart Clear View Cover Violet;1;1272645;ARS;2000005034963290;Pedido;1;12726,45;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;Fundas
20230201;1031409;1582;BHR5055EU;MI Robot Vacuum - Mop 2  White XIAOMI;1;18181736;ARS;2000005035025562;Pedido;1;181817,36;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Xiaomi;Aspiradoras
20230201;1031411;1582;SM-A037MZBEARO;Galaxy A03s 64/4GB Blue;1;4462727;ARS;2000005034480848;Pedido;1;44627,27;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;Smartphones
20230201;1031412;1582;SM-A135MZKKLEA;Galaxy A13 4/128Gb Black *KNOX*;1;6091570;ARS;2000005034178882;Pedido;1;60915,7;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;#N/D
20230201;1031413;94;EO-IC100BWEGWW;Type-C EarPhones White;1;371839;ARS;86399;Pedido;1;3718,39;2023;02;01;01/02/2023;5;Multipoint;Multipoint;Samsung;Auriculares
20230201;1031414;94;QN55Q60AAGCZB;"55"" QLED 4K Smart TV Q60A";1;826528;ARS;84653 - C;Pedido;1;8265,28;2023;02;01;01/02/2023;5;Multipoint;Multipoint;Samsung;Smart TV
20230201;1031417;1582;QT-S509NMNEAARO;Quantum Yolo 32/1gb DualSim Black;1;1902893;ARS;2000005032871112;Pedido;1;19028,93;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Quantum;Smartphones
20230201;1031421;1638;PE-ETA1001S;Peabody E-Termo 850w Inox;1;1480909;ARS;2000005035360708;Pedido;1;14809,09;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Peabody;Termo
20230201;1031422;1638;T671E1-FALCAR11;TCL 20SE T671E 256/6gb Gris;1;7239587;ARS;2000005035383032;Pedido;1;72395,87;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;TCL;Smartphones
20230201;1031424;1582;MG22M8054AK;Microondas  22L 850W/Grill 1100W Negro;1;8998962;ARS;2000005035510836;Pedido;1;89989,62;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Samsung;#N/D
20230201;1031436;1582;PE-ETA1001S;Peabody E-Termo 850w Inox;1;1480909;ARS;2000005035740616;Pedido;1;14809,09;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Peabody;Termo
20230201;1031441;1660;SM-A035MZKFARO-R;Galaxy A03 128/4GB Black RE;2;6875868;ARS;86434;Pedido;2;68758,68;2023;02;01;01/02/2023;5;Baires IT (WEB);Baires IT;Samsung;#N/D
20230201;1031443;3071720794;HSFY3200FCINV-F;HITACHI AA Neo Plus Inverter 3200W F/C U;1;12294174;ARS;AR-230129-24063ARG10;Pedido;1;122941,74;2023;02;01;01/02/2023;5;WAO SHOP;WAO SHOP;Hitachi;Aire split
20230201;1031447;1627;EF-JG780CTEGWW;S20FE Clear Standing Cover White;1;619752;ARS;ML5106763;Pedido;1;6197,52;2023;02;01;01/02/2023;5;Tienda Oficial;Mercado Libre;Samsung;Fundas
20230201;1031447;1627;ENVIO_MP;Costo Envío;1;92974;ARS;ML5106763;Pedido;1;929,74;2023;02;01;01/02/2023;5;Tienda Oficial;Mercado Libre;Costo Envio;Costo Envio
20230201;1031448;1627;SM-T220NZSDARO;Galaxy Tab A7 Lite 32/3GB Silver AR;1;5339276;ARS;ML5106758;Pedido;1;53392,76;2023;02;01;01/02/2023;5;Tienda Oficial;Mercado Libre;Samsung;Tablets
20230201;1031449;1582;HSFY3200FCINV-F;HITACHI AA Neo Plus Inverter 3200W F/C U;1;17355289;ARS;2000005035657104;Pedido;1;173552,89;2023;02;01;01/02/2023;5;Baires IT (ML);Mercado Libre;Hitachi;Aire split
